rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 07:39:16:102,117.022842,25.059707,176.059998,1
2020-12-07,闽F02199D,2020-12-07 07:39:18:176,117.022847,25.05954,176.53999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:39:20:061,117.02286200000002,25.059413,174.970001,1
2020-12-07,闽F02199D,2020-12-07 07:39:22:129,117.022873,25.059278,177.75,1
2020-12-07,闽F02199D,2020-12-07 07:39:24:221,117.022892,25.059155,175.229996,1
2020-12-07,闽F02199D,2020-12-07 07:39:26:097,117.02291299999999,25.059053,173.899994,1
2020-12-07,闽F02199D,2020-12-07 07:39:28:170,117.02292,25.058953,172.96000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:39:31:137,117.02292299999999,25.058828,170.029999,1
2020-12-07,闽F02199D,2020-12-07 07:39:33:029,117.02292800000001,25.058792999999998,162.46000700000002,1
2020-12-07,闽F02199D,2020-12-07 07:39:55:129,117.02292800000001,25.058792999999998,169.949997,1
2020-12-07,闽F02199D,2020-12-07 07:39:56:178,117.02292800000001,25.058792999999998,178.729996,1
2020-12-07,闽F02199D,2020-12-07 07:39:57:010,117.022993,25.058673000000002,183.369995,1
2020-12-07,闽F02199D,2020-12-07 07:39:58:073,117.022998,25.058623,175.070007,1
2020-12-07,闽F02199D,2020-12-07 07:40:00:189,117.022997,25.058513,173.78999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:40:02:100,117.022997,25.058401999999997,174.149994,1
2020-12-07,闽F02199D,2020-12-07 07:40:04:181,117.023003,25.058293,176.509995,1
2020-12-07,闽F02199D,2020-12-07 07:40:06:050,117.02301000000001,25.058188,175.259995,1
2020-12-07,闽F02199D,2020-12-07 07:40:08:157,117.022967,25.058078,173.119995,1
2020-12-07,闽F02199D,2020-12-07 07:40:09:200,117.02298,25.058032,166.550003,1
2020-12-07,闽F02199D,2020-12-07 07:40:11:094,117.023028,25.057942,152.16000400000001,1
2020-12-07,闽F02199D,2020-12-07 07:40:12:154,117.023068,25.057897,142.029999,1
2020-12-07,闽F02199D,2020-12-07 07:40:13:213,117.02311499999999,25.05786,133.360001,1
2020-12-07,闽F02199D,2020-12-07 07:40:14:047,117.02317,25.057827,125.860001,1
2020-12-07,闽F02199D,2020-12-07 07:40:15:082,117.023223,25.057798000000002,119.809998,1
2020-12-07,闽F02199D,2020-12-07 07:40:16:137,117.02328,25.057782999999997,110.339996,1
2020-12-07,闽F02199D,2020-12-07 07:40:17:221,117.02335,25.05777,101.129997,1
2020-12-07,闽F02199D,2020-12-07 07:40:18:066,117.02343,25.057765,93.790001,1
2020-12-07,闽F02199D,2020-12-07 07:40:20:174,117.023602,25.057772,86.82,1
